	Chr	Position	Bg02es	Bj	Gm06990	Gm12801	Gm12812	Gm12813	Gm12878	Helas3	Hepg2	Huvec	Imr90	K562	Mcf7	Nhek	Sknsh
21_13224688	21	13224688	16.512566	19.966049	22.408243	29.660238	25.247944	27.993204	22.189676	19.726059	25.236786	18.928932	14.000903	23.626249	24.495659	26.293997	19.901571
21_13227129	21	13227129	16.485672	19.987375	22.449265	29.698383	25.302233	27.963537	22.178816	19.64171	25.252934	18.907207	13.96438	23.818861	24.573092	26.308025	19.9256
21_13227353	21	13227353	16.470953	19.997705	22.470152	29.71653	25.329008	27.94803	22.172852	19.600733	25.260876	18.896664	13.945803	23.914301	24.611353	26.314602	19.936647
21_13227652	21	13227652	16.470953	19.997705	22.470152	29.71653	25.329008	27.94803	22.172852	19.600733	25.260876	18.896664	13.945803	23.914301	24.611353	26.314602	19.936647
21_13227809	21	13227809	16.470953	19.997705	22.470152	29.71653	25.329008	27.94803	22.172852	19.600733	25.260876	18.896664	13.945803	23.914301	24.611353	26.314602	19.936647
21_13227985	21	13227985	16.470953	19.997705	22.470152	29.71653	25.329008	27.94803	22.172852	19.600733	25.260876	18.896664	13.945803	23.914301	24.611353	26.314602	19.936647
21_13229171	21	13229171	16.455391	20.007786	22.491266	29.734049	25.355507	27.932077	22.166534	19.560568	25.268713	18.886333	13.927017	24.009109	24.649294	26.320885	19.947042
21_13229859	21	13229859	16.438995	20.017595	22.512587	29.750933	25.381714	27.915688	22.159863	19.521221	25.27644	18.876207	13.90803	24.103237	24.686905	26.32688	19.956781
21_13231256	21	13231256	16.403727	20.036312	22.555779	29.782751	25.43317	27.88162	22.145472	19.445026	25.291525	18.856571	13.869454	24.289303	24.761099	26.338009	19.974258
21_13234719	21	13234719	16.344763	20.061852	22.621656	29.825506	25.507687	27.827412	22.121323	19.337084	25.313116	18.828615	13.810166	24.562269	24.869707	26.352577	19.995443
21_13236257	21	13236257	16.301517	20.076998	22.666094	29.850628	25.55538	27.789291	22.103573	19.26944	25.326733	18.810946	13.769743	24.739687	24.940248	26.360914	20.006176
21_13236862	21	13236862	16.301517	20.076998	22.666094	29.850628	25.55538	27.789291	22.103573	19.26944	25.326733	18.810946	13.769743	24.739687	24.940248	26.360914	20.006176
21_13237791	21	13237791	16.278744	20.083961	22.688417	29.862152	25.578581	27.769663	22.094219	19.236933	25.333286	18.802397	13.749281	24.82691	24.974941	26.364679	20.010521
21_13238671	21	13238671	16.255215	20.090498	22.710785	29.87298	25.60133	27.749676	22.084553	19.205313	25.339668	18.794035	13.728654	24.913088	25.009254	26.368185	20.014185
21_13239963	21	13239963	16.23094	20.096594	22.733183	29.88311	25.623615	27.729328	22.074583	19.174582	25.345869	18.785858	13.707872	24.998186	25.043173	26.371433	20.017164
21_13240712	21	13240712	16.205938	20.102238	22.755594	29.892538	25.645416	27.708639	22.064316	19.144751	25.351885	18.777863	13.686944	25.082161	25.076696	26.374428	20.019464
21_13241182	21	13241182	16.180216	20.107418	22.778002	29.901262	25.666723	27.687613	22.053761	19.115822	25.357708	18.770052	13.665868	25.164984	25.109823	26.37718	20.021082
21_13241380	21	13241380	16.180216	20.107418	22.778002	29.901262	25.666723	27.687613	22.053761	19.115822	25.357708	18.770052	13.665868	25.164984	25.109823	26.37718	20.021082
21_13242941	21	13242941	16.153782	20.112122	22.800394	29.909269	25.687523	27.666267	22.042923	19.087805	25.363338	18.762423	13.644655	25.246611	25.142551	26.379694	20.02202
21_13243056	21	13243056	16.153782	20.112122	22.800394	29.909269	25.687523	27.666267	22.042923	19.087805	25.363338	18.762423	13.644655	25.246611	25.142551	26.379694	20.02202
21_13244082	21	13244082	16.126648	20.116341	22.822748	29.916565	25.707802	27.644613	22.031815	19.060701	25.368767	18.754965	13.623313	25.327009	25.174883	26.381968	20.022284
21_13247733	21	13247733	16.011362	20.128178	22.911507	29.938601	25.783451	27.555103	21.984831	18.961515	25.388428	18.726894	13.536763	25.635593	25.300222	26.388865	20.0166
21_13248038	21	13248038	16.011362	20.128178	22.911507	29.938601	25.783451	27.555103	21.984831	18.961515	25.388428	18.726894	13.536763	25.635593	25.300222	26.388865	20.0166
21_13248548	21	13248548	15.980915	20.129833	22.933456	29.942314	25.800941	27.532064	21.972496	18.939049	25.392817	18.720308	13.514866	25.709322	25.330566	26.390066	20.013517
21_13249222	21	13249222	15.94984	20.130953	22.955276	29.945314	25.817841	27.508785	21.959944	18.917526	25.396986	18.71389	13.492876	25.781614	25.360518	26.391071	20.009773
21_13249755	21	13249755	15.94984	20.130953	22.955276	29.945314	25.817841	27.508785	21.959944	18.917526	25.396986	18.71389	13.492876	25.781614	25.360518	26.391071	20.009773
21_13249775	21	13249775	15.94984	20.130953	22.955276	29.945314	25.817841	27.508785	21.959944	18.917526	25.396986	18.71389	13.492876	25.781614	25.360518	26.391071	20.009773
21_13249955	21	13249955	15.94984	20.130953	22.955276	29.945314	25.817841	27.508785	21.959944	18.917526	25.396986	18.71389	13.492876	25.781614	25.360518	26.391071	20.009773
21_13250541	21	13250541	15.91815	20.131535	22.976961	29.947599	25.834137	27.485283	21.947193	18.896944	25.400934	18.70764	13.470806	25.852438	25.390076	26.391893	20.005377
21_13255384	21	13255384	15.750943	20.126131	23.082781	29.94836	25.906361	27.364832	21.88076	18.808311	25.417383	18.678885	13.359469	26.183558	25.53212	26.393438	19.973789
21_13255471	21	13255471	15.750943	20.126131	23.082781	29.94836	25.906361	27.364832	21.88076	18.808311	25.417383	18.678885	13.359469	26.183558	25.53212	26.393438	19.973789
21_13255783	21	13255783	15.750943	20.126131	23.082781	29.94836	25.906361	27.364832	21.88076	18.808311	25.417383	18.678885	13.359469	26.183558	25.53212	26.393438	19.973789
21_13256287	21	13256287	15.71584	20.123367	23.103333	29.946404	25.918894	27.340248	21.86702	18.793461	25.42001	18.673624	13.33706	26.24498	25.559406	26.39329	19.965593
21_13257752	21	13257752	15.680218	20.120035	23.12365	29.943754	25.930775	27.315531	21.853165	18.779573	25.422413	18.668528	13.314622	26.304741	25.586327	26.393003	19.956791
21_13258267	21	13258267	15.644082	20.116137	23.143713	29.940416	25.942001	27.290689	21.839195	18.766651	25.424595	18.663593	13.292166	26.362818	25.61289	26.39259	19.94739
21_13258612	21	13258612	15.644082	20.116137	23.143713	29.940416	25.942001	27.290689	21.839195	18.766651	25.424595	18.663593	13.292166	26.362818	25.61289	26.39259	19.94739
21_13258634	21	13258634	15.644082	20.116137	23.143713	29.940416	25.942001	27.290689	21.839195	18.766651	25.424595	18.663593	13.292166	26.362818	25.61289	26.39259	19.94739
21_13259274	21	13259274	15.607451	20.111664	23.163523	29.936399	25.95256	27.265745	21.82513	18.754692	25.426556	18.658813	13.269694	26.419186	25.639099	26.392057	19.937389
21_13259327	21	13259327	15.607451	20.111664	23.163523	29.936399	25.95256	27.265745	21.82513	18.754692	25.426556	18.658813	13.269694	26.419186	25.639099	26.392057	19.937389
21_13259328	21	13259328	15.607451	20.111664	23.163523	29.936399	25.95256	27.265745	21.82513	18.754692	25.426556	18.658813	13.269694	26.419186	25.639099	26.392057	19.937389
21_13259437	21	13259437	15.607451	20.111664	23.163523	29.936399	25.95256	27.265745	21.82513	18.754692	25.426556	18.658813	13.269694	26.419186	25.639099	26.392057	19.937389
21_13260291	21	13260291	15.570333	20.106627	23.183056	29.931702	25.962452	27.240707	21.810987	18.743696	25.428301	18.654194	13.247215	26.473824	25.664955	26.391415	19.926807
21_13260446	21	13260446	15.570333	20.106627	23.183056	29.931702	25.962452	27.240707	21.810987	18.743696	25.428301	18.654194	13.247215	26.473824	25.664955	26.391415	19.926807
21_13260670	21	13260670	15.570333	20.106627	23.183056	29.931702	25.962452	27.240707	21.810987	18.743696	25.428301	18.654194	13.247215	26.473824	25.664955	26.391415	19.926807
21_13263238	21	13263238	15.456195	20.0881	23.239906	29.913626	25.988071	27.165155	21.768179	18.716505	25.432232	18.641294	13.179822	26.627157	25.740475	26.388876	19.891645
21_13263241	21	13263241	15.456195	20.0881	23.239906	29.913626	25.988071	27.165155	21.768179	18.716505	25.432232	18.641294	13.179822	26.627157	25.740475	26.388876	19.891645
21_13263590	21	13263590	15.456195	20.0881	23.239906	29.913626	25.988071	27.165155	21.768179	18.716505	25.432232	18.641294	13.179822	26.627157	25.740475	26.388876	19.891645
21_13264585	21	13264585	15.417259	20.080797	23.25823	29.906294	25.995247	27.139872	21.753832	18.709368	25.433117	18.637304	13.157396	26.674681	25.76498	26.38785	19.878811
21_13266595	21	13266595	15.33812	20.064495	23.293875	29.889727	26.007515	27.089231	21.725094	18.697973	25.434244	18.629787	13.112644	26.76425	25.813015	26.385576	19.851534
21_13270143	21	13270143	15.216403	20.035864	23.34466	29.860245	26.0207	27.013256	21.682079	18.688013	25.434362	18.619656	13.045865	26.88472	25.882696	26.381699	19.806732
21_13270891	21	13270891	15.175071	20.025217	23.36083	29.849222	26.023687	26.987976	21.66782	18.686579	25.433992	18.616577	13.023725	26.92112	25.905308	26.380306	19.790796
21_13275836	21	13275836	14.963111	19.963863	23.435516	29.785616	26.027987	26.862362	21.597664	18.693232	25.429106	18.603334	12.914169	27.074663	26.013912	26.372824	19.704107
21_13276330	21	13276330	14.919721	19.949995	23.44915	29.771273	26.026707	26.837467	21.583946	18.697266	25.427532	18.601101	12.892523	27.099644	26.034763	26.371256	19.685436
21_13276427	21	13276427	14.919721	19.949995	23.44915	29.771273	26.026707	26.837467	21.583946	18.697266	25.427532	18.601101	12.892523	27.099644	26.034763	26.371256	19.685436
21_13277477	21	13277477	14.876018	19.935604	23.462324	29.756422	26.024714	26.812672	21.570362	18.702177	25.425766	18.599005	12.870975	27.122713	26.055326	26.369675	19.666344
21_13280528	21	13280528	14.743105	19.88936	23.499002	29.708925	26.014423	26.738945	21.53051	18.722036	25.41931	18.593494	12.806969	27.18045	26.115339	26.364891	19.606642
21_13281034	21	13281034	14.743105	19.88936	23.499002	29.708925	26.014423	26.738945	21.53051	18.722036	25.41931	18.593494	12.806969	27.18045	26.115339	26.364891	19.606642
21_13283230	21	13283230	14.60764	19.838619	23.531221	29.65729	25.997669	26.666382	21.492241	18.749302	25.411173	18.589087	12.74398	27.221066	26.172842	26.360115	19.543543
21_13283953	21	13283953	14.60764	19.838619	23.531221	29.65729	25.997669	26.666382	21.492241	18.749302	25.411173	18.589087	12.74398	27.221066	26.172842	26.360115	19.543543
21_13284328	21	13284328	14.561951	19.820734	23.540924	29.639225	25.990646	26.642483	21.479885	18.759962	25.408092	18.587851	12.723227	27.230824	26.191452	26.35854	19.521803
21_13284448	21	13284448	14.561951	19.820734	23.540924	29.639225	25.990646	26.642483	21.479885	18.759962	25.408092	18.587851	12.723227	27.230824	26.191452	26.35854	19.521803
21_13285173	21	13285173	14.561951	19.820734	23.540924	29.639225	25.990646	26.642483	21.479885	18.759962	25.408092	18.587851	12.723227	27.230824	26.191452	26.35854	19.521803
21_13285281	21	13285281	14.516003	19.80238	23.550104	29.620756	25.98291	26.618746	21.467747	18.771374	25.404833	18.586725	12.702597	27.23871	26.209791	26.356979	19.499727
21_13286509	21	13286509	14.469804	19.78356	23.558739	29.601894	25.974457	26.595169	21.455835	18.783527	25.401396	18.585709	12.682093	27.24473	26.22785	26.355433	19.477329
21_13286662	21	13286662	14.469804	19.78356	23.558739	29.601894	25.974457	26.595169	21.455835	18.783527	25.401396	18.585709	12.682093	27.24473	26.22785	26.355433	19.477329
21_13288828	21	13288828	14.376676	19.744551	23.574362	29.563057	25.955406	26.548525	21.432722	18.809965	25.394001	18.583984	12.641471	27.251236	26.263145	26.352409	19.431604
21_13289671	21	13289671	14.329756	19.72438	23.581341	29.543118	25.944815	26.525469	21.421541	18.824207	25.390049	18.583269	12.621358	27.251745	26.280376	26.350933	19.4083
21_13289740	21	13289740	14.329756	19.72438	23.581341	29.543118	25.944815	26.525469	21.421541	18.824207	25.390049	18.583269	12.621358	27.251745	26.280376	26.350933	19.4083
21_13293652	21	13293652	14.139846	19.639469	23.603512	29.460171	25.89539	26.43512	21.379517	18.887526	25.37258	18.581312	12.542248	27.235863	26.346548	26.345329	19.312407
21_13294253	21	13294253	14.091843	19.617226	23.607594	29.438717	25.881281	26.413023	21.369722	18.904823	25.367817	18.58103	12.522813	27.227497	26.362398	26.344017	19.287823
21_13294763	21	13294763	14.091843	19.617226	23.607594	29.438717	25.881281	26.413023	21.369722	18.904823	25.367817	18.58103	12.522813	27.227497	26.362398	26.344017	19.287823
21_13297610	21	13297610	13.946662	19.548231	23.616249	29.372883	25.834827	26.347975	21.342169	18.959873	25.352613	18.580647	12.465343	27.192165	26.408293	26.340343	19.21279
21_13301510	21	13301510	13.750649	19.451332	23.619291	29.282242	25.763433	26.264267	21.309942	19.039711	25.330374	18.581074	12.390709	27.121998	26.465641	26.336147	19.110212
21_13302359	21	13302359	13.701265	19.426311	23.618521	29.25918	25.743938	26.243902	21.302734	19.060656	25.324488	18.581329	12.372413	27.100498	26.479303	26.335247	19.084202
21_13304980	21	13304980	13.602111	19.375395	23.615128	29.21266	25.703011	26.203867	21.289375	19.103556	25.312361	18.582005	12.336274	27.052919	26.505831	26.333639	19.03183
