	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
22_15513541	22	15513541	0.6	0.568627	0.524752	0.522388	0.540918	0.529471	0.542229	0.567287	0.542946	0.449728	0.406952	0.399036	0.417763	0.412895	0.406113
22_15934599	22	15934599	0.28	0.333333	0.475248	0.427861	0.417166	0.40959	0.408296	0.403919	0.40406	0.40578	0.412612	0.417186	0.396983	0.399341	0.398604
22_16022568	22	16022568	0.4	0.431373	0.39604	0.442786	0.403194	0.390609	0.423288	0.413917	0.391861	0.373881	0.373873	0.374386	0.378973	0.391597	0.395719
22_16022856	22	16022856	0.6	0.509804	0.465347	0.412935	0.39521	0.398601	0.396802	0.414317	0.392261	0.374281	0.373733	0.374256	0.378613	0.391557	0.39576
22_16022940	22	16022940	0.36	0.392157	0.415842	0.40796	0.389222	0.3996	0.398301	0.414917	0.392761	0.374231	0.373793	0.374296	0.378473	0.391549	0.395779
22_16029176	22	16029176	0.44	0.392157	0.346535	0.328358	0.317365	0.305694	0.313343	0.343131	0.362864	0.377081	0.373733	0.374616	0.374718	0.389579	0.39651
22_16029395	22	16029395	0.24	0.294118	0.366337	0.338308	0.359281	0.332667	0.323338	0.341132	0.363264	0.377931	0.373733	0.374506	0.374893	0.389575	0.396581
22_16030429	22	16030429	0.24	0.372549	0.376238	0.358209	0.387226	0.37962	0.372814	0.346331	0.361264	0.378081	0.373253	0.374476	0.374998	0.389713	0.396946
22_16031207	22	16031207	0.28	0.313725	0.336634	0.373134	0.365269	0.368631	0.377811	0.361928	0.359864	0.376831	0.373213	0.374386	0.375278	0.38977	0.397052
22_16032133	22	16032133	0.32	0.352941	0.405941	0.373134	0.377246	0.372627	0.375312	0.375925	0.359664	0.370631	0.373253	0.374146	0.376498	0.389543	0.397315
22_16034265	22	16034265	0.28	0.313725	0.366337	0.368159	0.37525	0.382617	0.376312	0.374525	0.374163	0.369632	0.372833	0.373976	0.377583	0.389182	0.397529
22_16034378	22	16034378	0.44	0.333333	0.366337	0.383085	0.369261	0.377622	0.375312	0.375125	0.374963	0.369632	0.372793	0.373906	0.377588	0.38912	0.397517
22_16034728	22	16034728	0.48	0.45098	0.366337	0.383085	0.377246	0.365634	0.370315	0.376125	0.375962	0.369032	0.372673	0.373656	0.377283	0.388914	0.397476
22_16035728	22	16035728	0.36	0.352941	0.376238	0.358209	0.37525	0.376623	0.371314	0.373925	0.375262	0.367832	0.372753	0.372616	0.376588	0.388513	0.397338
22_16035885	22	16035885	0.24	0.333333	0.386139	0.378109	0.373253	0.374625	0.372814	0.374525	0.374963	0.367582	0.372833	0.372456	0.376433	0.388497	0.39732
22_16036170	22	16036170	0.36	0.411765	0.366337	0.393035	0.383234	0.377622	0.375312	0.376125	0.375262	0.367682	0.372653	0.372076	0.376193	0.388533	0.397284
22_16038281	22	16038281	0.4	0.411765	0.376238	0.368159	0.37525	0.36963	0.373813	0.376725	0.376562	0.369182	0.372733	0.372466	0.375248	0.388736	0.39715
22_16039180	22	16039180	0.44	0.431373	0.425743	0.368159	0.377246	0.372627	0.373813	0.376725	0.376162	0.374581	0.372673	0.372866	0.375118	0.388727	0.397126
22_16039955	22	16039955	0.28	0.333333	0.336634	0.368159	0.365269	0.374625	0.375812	0.375525	0.375962	0.375081	0.372333	0.372336	0.374693	0.388703	0.397054
22_16040884	22	16040884	0.4	0.372549	0.386139	0.363184	0.379242	0.381618	0.377811	0.377724	0.376262	0.374381	0.372453	0.371696	0.374753	0.388687	0.396978
22_16042446	22	16042446	0.48	0.431373	0.366337	0.38806	0.381238	0.373626	0.376312	0.377325	0.375362	0.373831	0.373253	0.371086	0.374718	0.388595	0.396934
22_16042847	22	16042847	0.4	0.411765	0.376238	0.39801	0.37525	0.380619	0.377811	0.377125	0.375062	0.373881	0.373573	0.371316	0.374633	0.388519	0.396918
22_16042892	22	16042892	0.4	0.352941	0.405941	0.38806	0.381238	0.376623	0.378311	0.377125	0.375062	0.373681	0.373573	0.371326	0.374638	0.388505	0.396918
22_16044539	22	16044539	0.36	0.392157	0.376238	0.368159	0.373253	0.374625	0.372314	0.374325	0.374763	0.373181	0.374273	0.371566	0.373918	0.388179	0.397009
22_16046106	22	16046106	0.36	0.372549	0.356436	0.40796	0.373253	0.367632	0.371314	0.372525	0.372963	0.372331	0.374053	0.372586	0.373863	0.388046	0.39741
22_16046985	22	16046985	0.36	0.333333	0.405941	0.368159	0.379242	0.376623	0.377811	0.371526	0.370963	0.371881	0.370973	0.371406	0.374288	0.388133	0.397594
22_16047938	22	16047938	0.28	0.352941	0.376238	0.348259	0.371257	0.375624	0.372814	0.370326	0.371263	0.371481	0.370473	0.371646	0.374698	0.388191	0.397673
22_16048994	22	16048994	0.52	0.431373	0.356436	0.393035	0.349301	0.365634	0.369315	0.370526	0.369863	0.371281	0.370713	0.372486	0.375103	0.388388	0.397855
22_16051193	22	16051193	0.32	0.372549	0.376238	0.373134	0.369261	0.368631	0.362819	0.367526	0.368463	0.370281	0.370033	0.373486	0.375588	0.388535	0.39797
22_16054510	22	16054510	0.32	0.411765	0.386139	0.358209	0.363273	0.364635	0.364318	0.368726	0.366863	0.367932	0.372453	0.373666	0.376338	0.388793	0.398066
22_16058221	22	16058221	0.44	0.392157	0.356436	0.383085	0.373253	0.373626	0.370315	0.368326	0.367063	0.370231	0.371633	0.373816	0.375798	0.388673	0.398463
22_16064104	22	16064104	0.36	0.392157	0.336634	0.353234	0.357285	0.354645	0.355822	0.367726	0.373763	0.372431	0.373013	0.375316	0.375533	0.388501	0.399749
22_16064423	22	16064423	0.4	0.372549	0.366337	0.363184	0.355289	0.354645	0.35982	0.368926	0.373863	0.372431	0.372733	0.374966	0.375653	0.388493	0.399803
22_16065045	22	16065045	0.28	0.27451	0.287129	0.338308	0.361277	0.364635	0.365817	0.371726	0.374963	0.372831	0.371993	0.375236	0.375668	0.388497	0.399995
22_16065381	22	16065381	0.4	0.352941	0.346535	0.383085	0.377246	0.365634	0.373313	0.375525	0.374863	0.373031	0.371313	0.375166	0.375953	0.388503	0.400097
22_16066091	22	16066091	0.48	0.45098	0.415842	0.38806	0.389222	0.381618	0.385807	0.376725	0.373963	0.372631	0.369813	0.374916	0.375918	0.388377	0.400301
22_16066263	22	16066263	0.64	0.509804	0.405941	0.378109	0.393214	0.386613	0.386307	0.376925	0.374263	0.372481	0.369913	0.374796	0.375863	0.38832	0.400321
22_16072247	22	16072247	0.36	0.392157	0.356436	0.378109	0.37525	0.378621	0.375812	0.375325	0.376262	0.371781	0.368853	0.374666	0.377143	0.385257	0.400693
22_16072683	22	16072683	0.4	0.352941	0.386139	0.363184	0.387226	0.38961	0.387306	0.374525	0.376462	0.372331	0.369013	0.374146	0.377018	0.385151	0.400568
22_16074099	22	16074099	0.28	0.313725	0.346535	0.363184	0.369261	0.36963	0.381809	0.375725	0.371863	0.372931	0.371093	0.374616	0.376938	0.384751	0.400205
22_16074298	22	16074298	0.32	0.372549	0.356436	0.353234	0.367265	0.367632	0.373313	0.376925	0.371563	0.372981	0.371053	0.374546	0.376893	0.384783	0.400195
22_16075388	22	16075388	0.32	0.313725	0.386139	0.328358	0.359281	0.36963	0.369815	0.373125	0.369663	0.373131	0.372413	0.374136	0.377168	0.384712	0.40018
22_16077856	22	16077856	0.32	0.27451	0.366337	0.383085	0.365269	0.366633	0.369815	0.364927	0.369663	0.372681	0.375252	0.372606	0.377008	0.384471	0.399955
22_16078477	22	16078477	0.32	0.333333	0.346535	0.358209	0.373253	0.364635	0.363818	0.366727	0.366863	0.373781	0.374513	0.372746	0.376818	0.38438	0.39997
22_16079838	22	16079838	0.32	0.333333	0.346535	0.328358	0.361277	0.35964	0.35982	0.364327	0.367863	0.372681	0.373493	0.374816	0.376568	0.384328	0.399974
22_16079942	22	16079942	0.56	0.411765	0.356436	0.358209	0.351297	0.355644	0.35982	0.364327	0.367763	0.371731	0.373353	0.374786	0.376608	0.384336	0.399977
22_16084705	22	16084705	0.44	0.411765	0.346535	0.38806	0.379242	0.36963	0.368316	0.372925	0.375662	0.365632	0.375032	0.380106	0.376228	0.384064	0.400024
22_16090803	22	16090803	0.44	0.372549	0.336634	0.318408	0.273453	0.298701	0.294853	0.344931	0.372663	0.376231	0.377352	0.376816	0.375533	0.384005	0.400539
22_16093268	22	16093268	0.4	0.411765	0.415842	0.427861	0.40519	0.397602	0.396302	0.382923	0.367563	0.381181	0.377132	0.376156	0.375273	0.383946	0.400928
22_16093572	22	16093572	0.4	0.392157	0.445545	0.383085	0.397206	0.405594	0.388306	0.391922	0.368663	0.380231	0.377872	0.375656	0.375223	0.384016	0.400991
22_16094812	22	16094812	0.16	0.156863	0.287129	0.383085	0.38523	0.3996	0.417791	0.377125	0.370163	0.377531	0.378112	0.374906	0.374598	0.384123	0.401021
22_16095241	22	16095241	0.76	0.588235	0.574257	0.477612	0.459082	0.437562	0.413793	0.377524	0.376262	0.377181	0.377872	0.374556	0.374448	0.384222	0.400984
22_16098381	22	16098381	0.4	0.509804	0.475248	0.383085	0.49501	0.475524	0.422289	0.389322	0.39836	0.377381	0.377632	0.376746	0.373948	0.384667	0.40111
22_16098497	22	16098497	0.56	0.470588	0.425743	0.437811	0.473054	0.445554	0.432284	0.386523	0.39726	0.377081	0.377792	0.376816	0.373943	0.384667	0.401125
22_16099826	22	16099826	0.4	0.431373	0.455446	0.427861	0.453094	0.43956	0.404298	0.430914	0.390761	0.377281	0.378872	0.377806	0.373813	0.38437	0.401071
22_16104197	22	16104197	0.36	0.333333	0.326733	0.318408	0.307385	0.322677	0.326337	0.376125	0.388461	0.389181	0.375572	0.379526	0.373673	0.384254	0.401429
22_16104216	22	16104216	0.36	0.294118	0.29703	0.308458	0.307385	0.323676	0.325837	0.375525	0.388461	0.388931	0.375652	0.379526	0.373648	0.384248	0.401426
22_16104635	22	16104635	0.36	0.411765	0.356436	0.343284	0.333333	0.330669	0.354823	0.375725	0.387361	0.389281	0.376432	0.379906	0.373583	0.384087	0.401318
22_16104906	22	16104906	0.4	0.333333	0.326733	0.323383	0.349301	0.35964	0.367316	0.368926	0.383362	0.39018	0.377232	0.379966	0.373563	0.383986	0.401299
22_16105040	22	16105040	0.2	0.313725	0.326733	0.353234	0.361277	0.363636	0.364818	0.365927	0.383662	0.389631	0.377172	0.380106	0.373483	0.383961	0.401278
22_16105105	22	16105105	0.48	0.392157	0.415842	0.353234	0.383234	0.383616	0.369815	0.365127	0.383562	0.389081	0.377232	0.380056	0.373448	0.383913	0.401262
22_16108547	22	16108547	0.44	0.490196	0.415842	0.358209	0.353293	0.394605	0.362819	0.386323	0.382162	0.386881	0.388512	0.379096	0.372048	0.384315	0.401099
22_16108824	22	16108824	0.48	0.372549	0.405941	0.41791	0.387226	0.408591	0.361819	0.376925	0.383362	0.386881	0.389292	0.379036	0.372208	0.384385	0.401095
22_16112668	22	16112668	0.36	0.333333	0.356436	0.363184	0.403194	0.445554	0.427786	0.394521	0.377862	0.376531	0.384172	0.377576	0.371398	0.385074	0.401692
22_16113836	22	16113836	0.4	0.392157	0.415842	0.378109	0.411178	0.325674	0.397801	0.377724	0.391361	0.382781	0.382812	0.377946	0.371423	0.385215	0.401744
22_16115194	22	16115194	0.24	0.235294	0.287129	0.343284	0.321357	0.346653	0.345327	0.375725	0.388661	0.385631	0.381912	0.378776	0.371528	0.385308	0.401829
22_16115575	22	16115575	0.24	0.313725	0.287129	0.303483	0.317365	0.327672	0.33983	0.380524	0.386461	0.382931	0.382912	0.379096	0.371643	0.385354	0.401758
22_16115633	22	16115633	0.44	0.294118	0.336634	0.353234	0.325349	0.324675	0.338831	0.377125	0.385861	0.382181	0.383032	0.379166	0.371673	0.38535	0.401735
22_16115854	22	16115854	0.48	0.392157	0.346535	0.373134	0.355289	0.313686	0.329835	0.371926	0.387861	0.380431	0.383532	0.378916	0.371733	0.385356	0.401705
22_16116306	22	16116306	0.24	0.215686	0.29703	0.298507	0.287425	0.323676	0.34083	0.384923	0.388861	0.378031	0.384232	0.378516	0.371858	0.385383	0.401691
22_16116810	22	16116810	0.64	0.509804	0.564356	0.457711	0.43513	0.372627	0.381309	0.393121	0.390861	0.376681	0.384972	0.378316	0.372018	0.385428	0.401646
22_16117101	22	16117101	0.24	0.294118	0.316832	0.348259	0.387226	0.406593	0.404798	0.389722	0.390061	0.374481	0.385512	0.378296	0.372063	0.385451	0.401635
22_16117111	22	16117111	0.24	0.27451	0.326733	0.343284	0.381238	0.405594	0.404298	0.390522	0.389661	0.374581	0.385512	0.378306	0.372073	0.385451	0.401633
22_16117566	22	16117566	0.48	0.45098	0.455446	0.482587	0.479042	0.440559	0.429285	0.383523	0.382062	0.373231	0.384632	0.378346	0.372013	0.385501	0.401609
22_16118422	22	16118422	0.32	0.313725	0.415842	0.447761	0.439122	0.436563	0.442779	0.396321	0.377262	0.371881	0.382872	0.378186	0.372263	0.385577	0.401488
22_16118567	22	16118567	0.48	0.470588	0.475248	0.487562	0.45509	0.431568	0.428786	0.394321	0.379762	0.373381	0.382252	0.378266	0.372298	0.385586	0.401482
22_16118771	22	16118771	0.48	0.45098	0.39604	0.457711	0.437126	0.44955	0.410295	0.396521	0.380462	0.374431	0.381732	0.378336	0.372253	0.385567	0.401492
22_16118921	22	16118921	0.32	0.372549	0.435644	0.40796	0.457086	0.423576	0.403298	0.40232	0.382462	0.373581	0.381252	0.378276	0.372273	0.385546	0.401482
22_16119052	22	16119052	0.6	0.705882	0.524752	0.462687	0.42515	0.408591	0.395802	0.407718	0.381962	0.373281	0.381032	0.378386	0.372303	0.385546	0.401499
22_16120223	22	16120223	0.32	0.352941	0.326733	0.38806	0.345309	0.376623	0.352824	0.384523	0.382062	0.376731	0.379632	0.378666	0.372718	0.385474	0.401567
22_16122030	22	16122030	0.32	0.372549	0.366337	0.348259	0.335329	0.326673	0.341329	0.373925	0.376662	0.39218	0.382652	0.379766	0.372068	0.385407	0.401576
22_16122284	22	16122284	0.24	0.294118	0.316832	0.313433	0.299401	0.31968	0.364318	0.380924	0.375262	0.39498	0.383212	0.380026	0.372213	0.385461	0.401555
22_16122492	22	16122492	0.2	0.176471	0.19802	0.263682	0.297405	0.303696	0.354823	0.382523	0.372163	0.39733	0.383472	0.379866	0.372318	0.385497	0.401546
22_16122942	22	16122942	0.32	0.27451	0.287129	0.303483	0.377246	0.364635	0.37981	0.373925	0.362864	0.40148	0.383552	0.379556	0.372443	0.385402	0.401568
22_16123677	22	16123677	0.36	0.392157	0.425743	0.442786	0.457086	0.431568	0.3998	0.363927	0.358264	0.40133	0.383012	0.379216	0.372713	0.385472	0.401629
22_16124912	22	16124912	0.36	0.509804	0.39604	0.40796	0.393214	0.35964	0.338831	0.34953	0.365863	0.39848	0.384032	0.379486	0.373178	0.385546	0.40166
22_16124959	22	16124959	0.4	0.333333	0.386139	0.348259	0.377246	0.358641	0.337331	0.34833	0.365763	0.39873	0.384012	0.379486	0.373188	0.385556	0.401659
22_16125374	22	16125374	0.12	0.176471	0.237624	0.243781	0.287425	0.300699	0.328836	0.35073	0.365663	0.39703	0.383512	0.379726	0.373318	0.38559	0.401628
22_16125386	22	16125386	0.24	0.215686	0.217822	0.258706	0.295409	0.300699	0.330335	0.35013	0.366163	0.39703	0.383412	0.379726	0.373328	0.385596	0.40163
22_16125535	22	16125535	0.28	0.313725	0.326733	0.348259	0.295409	0.285714	0.324838	0.34933	0.370563	0.39688	0.383512	0.379756	0.373383	0.385588	0.40162
22_16126243	22	16126243	0.24	0.215686	0.217822	0.278607	0.273453	0.321678	0.311344	0.341732	0.376862	0.39528	0.383192	0.379776	0.373638	0.385666	0.401587
22_16126269	22	16126269	0.28	0.294118	0.257426	0.263682	0.273453	0.330669	0.310845	0.339932	0.376562	0.39528	0.383152	0.379796	0.373663	0.385674	0.401588
22_16130169	22	16130169	0.32	0.313725	0.326733	0.338308	0.389222	0.426573	0.453773	0.483303	0.414159	0.381081	0.386732	0.378706	0.376183	0.385476	0.401525
22_16130328	22	16130328	0.36	0.352941	0.425743	0.462687	0.439122	0.416583	0.454773	0.494701	0.414059	0.381231	0.386492	0.378676	0.376263	0.385381	0.401529
22_16130580	22	16130580	0.28	0.313725	0.336634	0.40796	0.473054	0.440559	0.486257	0.5021	0.412059	0.382231	0.386232	0.378666	0.376368	0.385225	0.401532
22_16130638	22	16130638	0.52	0.392157	0.366337	0.378109	0.471058	0.451548	0.491254	0.5019	0.412659	0.382181	0.386052	0.378696	0.376383	0.385192	0.401537
22_16132992	22	16132992	0.2	0.235294	0.306931	0.323383	0.451098	0.45954	0.522239	0.460708	0.413259	0.382231	0.383352	0.377226	0.377458	0.384077	0.401751
22_16133090	22	16133090	0.24	0.333333	0.29703	0.298507	0.361277	0.451548	0.507746	0.458708	0.412559	0.381881	0.383532	0.377236	0.377478	0.384045	0.401739
22_16133180	22	16133180	0.4	0.372549	0.376238	0.333333	0.309381	0.462537	0.487756	0.457908	0.412159	0.379981	0.383352	0.377396	0.377533	0.384022	0.401724
22_16133375	22	16133375	0.24	0.313725	0.306931	0.333333	0.40519	0.418581	0.463268	0.44891	0.415258	0.377881	0.383212	0.377616	0.377613	0.383938	0.401718
22_16133434	22	16133434	0.6	0.490196	0.465347	0.432836	0.44511	0.412587	0.448776	0.447111	0.416658	0.377731	0.383332	0.377466	0.377653	0.3839	0.40172
22_16133448	22	16133448	0.6	0.54902	0.50495	0.447761	0.44511	0.415584	0.444778	0.447111	0.416458	0.377581	0.383392	0.377466	0.377658	0.383894	0.401716
22_16134591	22	16134591	0.28	0.235294	0.237624	0.263682	0.279441	0.285714	0.327836	0.382324	0.40286	0.372581	0.383612	0.378726	0.378183	0.3834	0.401742
22_16134606	22	16134606	0.24	0.254902	0.267327	0.258706	0.273453	0.284715	0.325337	0.380924	0.40236	0.372481	0.383652	0.378686	0.378178	0.383392	0.401742
22_16134752	22	16134752	0.44	0.352941	0.29703	0.298507	0.285429	0.277722	0.314343	0.372126	0.39876	0.371181	0.383872	0.378826	0.378218	0.383301	0.401719
22_16136054	22	16136054	0.48	0.411765	0.356436	0.308458	0.277445	0.308691	0.301849	0.328934	0.391661	0.374431	0.379452	0.379106	0.379168	0.382817	0.40145
22_16136260	22	16136260	0.24	0.27451	0.257426	0.253731	0.313373	0.317682	0.311844	0.324935	0.388161	0.375831	0.379432	0.379146	0.379228	0.38273	0.401419
22_16136382	22	16136382	0.52	0.45098	0.366337	0.348259	0.321357	0.338661	0.313343	0.316137	0.385561	0.376781	0.379772	0.379106	0.379223	0.382699	0.401398
22_16136750	22	16136750	0.68	0.568627	0.485149	0.427861	0.353293	0.352647	0.317341	0.312537	0.374463	0.378881	0.381232	0.379056	0.379288	0.382661	0.401318
22_16138587	22	16138587	0.2	0.27451	0.306931	0.363184	0.397206	0.372627	0.327336	0.338732	0.331567	0.39103	0.378612	0.378976	0.379293	0.382987	0.400787
22_16139908	22	16139908	0.56	0.54902	0.514851	0.427861	0.331337	0.315684	0.338331	0.34853	0.324468	0.39003	0.378652	0.379206	0.379368	0.383131	0.400645
22_16140111	22	16140111	0.16	0.176471	0.287129	0.313433	0.381238	0.348651	0.351324	0.35013	0.324868	0.39023	0.379172	0.379126	0.379373	0.383156	0.400624
22_16140529	22	16140529	0.4	0.411765	0.376238	0.38806	0.369261	0.373626	0.365317	0.352929	0.329667	0.389681	0.380652	0.379266	0.379368	0.38324	0.400553
22_16141593	22	16141593	0.32	0.313725	0.356436	0.363184	0.371257	0.371628	0.371814	0.331134	0.343366	0.382881	0.380612	0.378976	0.379258	0.383476	0.400431
22_16141669	22	16141669	0.36	0.333333	0.306931	0.328358	0.377246	0.374625	0.371814	0.332334	0.346065	0.382631	0.380672	0.379126	0.379258	0.383485	0.400417
22_16141951	22	16141951	0.4	0.372549	0.346535	0.348259	0.365269	0.34965	0.35982	0.332533	0.347965	0.378231	0.380112	0.379426	0.379138	0.383535	0.400388
22_16142519	22	16142519	0.4	0.372549	0.366337	0.363184	0.297405	0.326673	0.315342	0.331334	0.354665	0.371631	0.380232	0.379326	0.379123	0.383655	0.400327
22_16143347	22	16143347	0.2	0.196078	0.217822	0.243781	0.251497	0.25974	0.290355	0.334733	0.366463	0.370281	0.378912	0.379156	0.378918	0.383493	0.400115
22_16144333	22	16144333	0.6	0.470588	0.435644	0.368159	0.339321	0.324675	0.292854	0.34833	0.376362	0.369032	0.377992	0.378006	0.378828	0.38344	0.399861
22_16146005	22	16146005	0.24	0.333333	0.386139	0.402985	0.411178	0.434565	0.422789	0.393921	0.386561	0.377931	0.379152	0.375846	0.378608	0.383512	0.399808
22_16146292	22	16146292	0.64	0.529412	0.49505	0.462687	0.441118	0.460539	0.449775	0.406519	0.386161	0.378331	0.379552	0.376066	0.378383	0.38355	0.399851
22_16147807	22	16147807	0.56	0.45098	0.475248	0.462687	0.483034	0.444555	0.446777	0.440912	0.39616	0.377581	0.381812	0.376536	0.378178	0.383993	0.399938
22_16147906	22	16147906	0.48	0.431373	0.465347	0.432836	0.477046	0.43956	0.444778	0.440712	0.39776	0.378181	0.381652	0.376476	0.378223	0.383999	0.399956
22_16148516	22	16148516	0.56	0.588235	0.524752	0.512438	0.449102	0.444555	0.451274	0.437912	0.406359	0.377881	0.380432	0.375556	0.378143	0.384039	0.400025
22_16149527	22	16149527	0.16	0.333333	0.376238	0.427861	0.421158	0.424575	0.425287	0.424715	0.417658	0.381881	0.380332	0.375366	0.377628	0.384009	0.400259
22_16149733	22	16149733	0.36	0.411765	0.465347	0.467662	0.423154	0.410589	0.424288	0.424115	0.419758	0.382781	0.380212	0.375126	0.377578	0.383986	0.400309
22_16151997	22	16151997	0.4	0.333333	0.386139	0.39801	0.417166	0.408591	0.415292	0.412917	0.408659	0.374431	0.382112	0.372506	0.378263	0.383643	0.400463
22_16152774	22	16152774	0.52	0.509804	0.534653	0.477612	0.447106	0.422577	0.416292	0.410918	0.394461	0.374631	0.383652	0.373056	0.378233	0.383278	0.400437
22_16154840	22	16154840	0.4	0.392157	0.405941	0.39801	0.383234	0.398601	0.396302	0.379924	0.381462	0.385781	0.380072	0.373656	0.378318	0.383167	0.400475
22_16155382	22	16155382	0.28	0.27451	0.306931	0.313433	0.355289	0.368631	0.371814	0.364727	0.373463	0.39003	0.380152	0.373246	0.378408	0.383076	0.400485
22_16155434	22	16155434	0.36	0.294118	0.29703	0.333333	0.365269	0.360639	0.365817	0.363327	0.372763	0.39038	0.379912	0.373276	0.378398	0.383084	0.400475
22_16155484	22	16155484	0.24	0.372549	0.346535	0.358209	0.373253	0.358641	0.365817	0.362527	0.371463	0.39003	0.379492	0.373266	0.378388	0.383074	0.400485
22_16155703	22	16155703	0.4	0.431373	0.415842	0.402985	0.373253	0.341658	0.357821	0.358128	0.366263	0.389231	0.379472	0.372736	0.378293	0.383061	0.400493
22_16156952	22	16156952	0.36	0.352941	0.386139	0.358209	0.313373	0.326673	0.317341	0.358128	0.361264	0.381131	0.372433	0.371946	0.378438	0.382806	0.400493
22_16159370	22	16159370	0.52	0.45098	0.485149	0.527363	0.441118	0.378621	0.345327	0.334333	0.352365	0.374831	0.367133	0.370416	0.378598	0.382357	0.400541
